[14:33:40] [INFO] [main] 토큰 발급 중...
[14:33:44] [INFO] [main] 기존 보유 종목 포지션 복원 중...
[14:33:46] [INFO] [strategy] 🔍 조건 검색 전략 시작 (1분봉 MA120 개별 종목 손절 필터 활성)
[14:33:46] [INFO] [strategy.position] 📡 포지션 모니터링 시작
[14:33:46] [INFO] [main] ✅ 자동매매 시작! (종료: Ctrl+C)
[14:33:46] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:33:51] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:33:56] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:34:01] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:34:06] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:34:11] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:34:16] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:34:21] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:34:26] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:34:31] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:34:36] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:34:41] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:34:46] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:34:51] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:34:56] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:35:01] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:35:06] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:35:11] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:35:16] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:35:21] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:35:26] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:35:31] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:35:36] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:35:41] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:35:46] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:35:51] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:35:56] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:36:01] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:36:06] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:36:11] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:36:16] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:36:21] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:36:26] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:36:31] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:36:36] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:36:41] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:36:46] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:36:51] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:36:56] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:37:01] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:37:06] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:37:11] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:37:16] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:37:21] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:37:26] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:37:31] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:37:36] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:37:41] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:37:46] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:37:51] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:37:56] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:38:01] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:38:06] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:38:11] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:38:16] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:38:21] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:38:26] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:38:31] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
